State,Confirmed,Discharged,Death,Date
Kano,34,58,0,15/02/2021
Kano,16,43,0,16/02/2021
Kano,22,48,1,17/02/2021
Kano,34,27,2,18/02/2021
Kano,44,48,1,19/02/2021
Kano,10,36,1,20/02/2021
Kano,12,1,2,21/02/2021
Kano,42,44,1,22/02/2021
Kano,19,0,0,23/02/2021
Kano,43,18,0,24/02/2021
Kano,19,20,1,25/02/2021
Kano,0,18,0,26/02/2021
Kano,33,16,0,27/02/2021
Kano,2,15,0,28/02/2021
Kano,3,15,0,01/03/2021
Kano,11,22,0,02/03/2021
Kano,26,5,0,03/03/2021
Kano,20,0,0,04/03/2021
Kano,20,24,1,05/03/2021
Kano,10,13,2,06/03/2021
Kano,4,26,1,07/03/2021
Kano,5,27,0,08/03/2021
Kano,2,16,1,09/03/2021
Kano,1,7,0,10/03/2021
Kano,5,18,0,11/03/2021
Kano,6,42,0,12/03/2021
Kano,3,8,0,13/03/2021
Kano,7,18,0,14/03/2021
Kano,1,16,0,15/03/2021
Kano,4,0,0,16/03/2021
Kano,0,0,0,17/03/2021
Kano,3,16,0,18/03/2021
Kano,0,0,0,19/03/2021
Kano,1,5,1,20/03/2021
Kano,7,0,0,21/03/2021
Kano,1,0,0,22/03/2021
Kano,0,7,0,23/03/2021
Kano,5,7,0,24/03/2021
Kano,1,4,0,25/03/2021
Kano,1,0,0,26/03/2021
Kano,0,0,0,27/03/2021
Kano,5,4,0,28/03/2021
Kano,6,0,0,29/03/2021
Kano,1,6,0,30/03/2021
Kano,0,0,0,31/03/2021
Kano,2,0,0,01/04/2021
Kano,2,4,0,02/04/2021
Kano,0,0,0,03/04/2021
Kano,0,0,0,04/04/2021
Kano,0,0,0,05/04/2021
Kano,4,6,0,06/04/2021
Kano,0,0,0,07/04/2021
Kano,1,10,0,08/04/2021
Kano,6,0,0,09/04/2021
Kano,6,2,0,10/04/2021
Kano,0,0,0,11/04/2021
Kano,0,0,0,12/04/2021
Kano,0,0,0,13/04/2021
Kano,5,10,0,14/04/2021
Kano,3,0,0,15/04/2021
Kano,3,3,0,16/04/2021
Kano,1,0,0,17/04/2021
Kano,2,3,0,18/04/2021
Kano,0,1,0,19/04/2021
Kano,5,11,0,20/04/2021
Kano,3,8,0,21/04/2021
Kano,0,0,0,22/04/2021
Kano,2,18,0,23/04/2021
Kano,0,9,0,24/04/2021
Kano,0,8,0,25/04/2021
Kano,0,6,0,26/04/2021
Kano,0,0,0,27/04/2021
Kano,0,0,0,28/04/2021
Kano,6,0,0,29/04/2021
Kano,1,0,0,30/04/2021
