State,Confirmed,Discharged,Death,Date
FCT_Abuja,15,977,7,30/03/2021
FCT_Abuja,5,1,1,31/03/2021
FCT_Abuja,20,0,0,01/04/2021
FCT_Abuja,1,0,0,02/04/2021
FCT_Abuja,0,0,0,03/04/2021
FCT_Abuja,0,30,0,04/04/2021
FCT_Abuja,9,1,0,05/04/2021
FCT_Abuja,3,1007,0,06/04/2021
FCT_Abuja,16,0,0,07/04/2021
FCT_Abuja,0,0,0,08/04/2021
FCT_Abuja,6,0,0,09/04/2021
FCT_Abuja,0,0,0,10/04/2021
FCT_Abuja,20,0,0,11/04/2021
FCT_Abuja,22,4,1,12/04/2021
FCT_Abuja,11,0,0,13/04/2021
FCT_Abuja,0,0,0,14/04/2021
FCT_Abuja,0,0,0,15/04/2021
FCT_Abuja,0,0,0,16/04/2021
FCT_Abuja,0,0,0,17/04/2021
FCT_Abuja,0,0,0,18/04/2021
FCT_Abuja,0,0,0,19/04/2021
FCT_Abuja,7,0,0,20/04/2021
FCT_Abuja,0,0,0,21/04/2021
FCT_Abuja,4,4,0,22/04/2021
FCT_Abuja,1,0,0,23/04/2021
FCT_Abuja,4,0,0,24/04/2021
FCT_Abuja,2,2,0,25/04/2021
FCT_Abuja,5,1,0,26/04/2021
FCT_Abuja,0,0,1,27/04/2021
FCT_Abuja,8,5,0,28/04/2021
FCT_Abuja,3,0,0,29/04/2021
FCT_Abuja,2,0,0,30/04/2021
